в, PREP: 4538
не, PRCL: 3448
я, NPRO: 2338
год, NOUN: 942
весь, ADJF: 926
по, PREP: 903
есть, VERB: 833
они, NPRO: 738
очень, ADVB: 725
от, PREP: 715
можно, PRED: 714
такой, ADJF: 677
или, CONJ: 656
вы, NPRO: 636
если, CONJ: 636
вот, PRCL: 633
мы, NPRO: 616
за, PREP: 533
этот, ADJF: 525
сорт, NOUN: 494
один, ADJF: 474
который, ADJF: 445
растение, NOUN: 441
она, NPRO: 423
свой, ADJF: 409
до, PREP: 388
земля, NOUN: 385
семя, NOUN: 379
какой, ADJF: 371
участок, NOUN: 366
бы, PRCL: 353
тоже, PRCL: 352
почва, NOUN: 333
куст, NOUN: 330
дерево, NOUN: 322
он, NPRO: 307
место, NOUN: 288
грядка, NOUN: 280
хочу, VERB: 264
два, NUMR: 261
кто, NPRO: 255
удобрение, NOUN: 242
урожай, NOUN: 239
томат, NOUN: 232
время, NOUN: 226
могу, VERB: 226
даже, PRCL: 223
ваш, ADJF: 219
сейчас, ADVB: 218
рассада, NOUN: 215
дача, NOUN: 210
без, PREP: 209
другой, ADJF: 203
зима, NOUN: 201
поэтому, ADVB: 194
знаю, VERB: 188
грунт, NOUN: 187
самый, ADJF: 185
более, ADVB: 185
каждый, ADJF: 184
теплица, NOUN: 183
проблема, NOUN: 182
огород, NOUN: 181
ветка, NOUN: 180
быть, INFN: 173
фото, NOUN: 168
хороший, ADJF: 168
делаю, VERB: 167
посадка, NOUN: 165
лист, NOUN: 163
себя, NPRO: 162
помидор, NOUN: 161
сам, ADJF: 160
совет, NOUN: 157
плод, NOUN: 156
подсказал, VERB: 153
через, PREP: 151
сад, NOUN: 150
наш, ADJF: 147
разный, ADJF: 144
всегда, ADVB: 140
выращиваю, VERB: 139
люблю, VERB: 137
вид, NOUN: 137
дом, NOUN: 136
сделать, INFN: 135
день, NOUN: 132
хотелось, VERB: 132
мой, ADJF: 131
делать, INFN: 125
вопрос, NOUN: 123
первый, ADJF: 123
посадил, VERB: 120
сосед, NOUN: 119
совсем, ADVB: 116
способ, NOUN: 116
большой, ADJF: 116
ягода, NOUN: 116
корень, NOUN: 116
посадить, INFN: 114
купил, VERB: 114
тогда, ADVB: 110
высокий, ADJF: 110
расту, VERB: 109
опыт, NOUN: 108
температура, NOUN: 107
сразу, ADVB: 105
конец, NOUN: 105
теперь, ADVB: 104
система, NOUN: 103
например, CONJ: 103
получаюсь, VERB: 101
выращивание, NOUN: 101
работа, NOUN: 100
неделя, NOUN: 100
также, PRCL: 100
интернет, NOUN: 99
человек, NOUN: 98
помог, VERB: 97
сделал, VERB: 97
решил, VERB: 95
весна, NOUN: 95
вкус, NOUN: 94
должен, ADJS: 93
потому, ADVB: 93
нужен, ADJS: 93
тот, ADJF: 93
картошка, NOUN: 92
лопата, NOUN: 92
купить, INFN: 92
черенок, NOUN: 88
попробовал, VERB: 87
пользуюсь, VERB: 86
сказал, VERB: 86
случай, NOUN: 86
рост, NOUN: 85
крупный, ADJF: 85
виноград, NOUN: 84
месяц, NOUN: 84
красивый, ADJF: 84
небольшой, ADJF: 83
раз, NOUN: 83
выращивать, INFN: 83
трава, NOUN: 82
вырос, VERB: 82
получился, VERB: 82
именно, PRCL: 82
материал, NOUN: 81
меньше, COMP: 81
нравлюсь, VERB: 81
садовый, ADJF: 80
начинаю, VERB: 80
перед, PREP: 80
обычный, ADJF: 80
горшок, NOUN: 79
