Всего устойчивых n-грамм: 5943
у я [503] [461] 
у мы [243] [222] 
и не [221] [200] 
в это [202] [194] 
и в [159] [148] 
а вот [151] [148] 
на дача [141] [133] 
это год [141] [134] 
на участок [124] [118] 
у вы [118] [110] 
я не [109] [108] 
так как [100] [92] 
не знаю [95] [91] 
что бы [94] [87] 
так и [93] [87] 
да и [93] [89] 
что это [88] [83] 
на зима [85] [82] 
и на [77] [73] 
не было [77] [71] 
я на [77] [77] 
а в [76] [75] 
я в [74] [73] 
у они [73] [67] 
но и [71] [68] 
так что [70] [70] 
в том [69] [69] 
может быть [68] [65] 
не очень [67] [66] 
не есть [67] [63] 
спасибо за [66] [65] 
это не [65] [63] 
я тоже [65] [63] 
не могу [64] [64] 
не так [63] [63] 
прошлое год [63] [61] 
в прошлое [62] [61] 
как и [62] [61] 
не только [60] [59] 
а то [59] [55] 
раз в [59] [55] 
в теплица [59] [56] 
а пот [58] [56] 
а на [58] [58] 
в земля [57] [57] 
и весь [56] [54] 
в интернет [56] [50] 
но это [55] [54] 
как раз [54] [49] 
ну и [54] [51] 
каждый год [53] [52] 
и я [53] [53] 
должен быть [52] [51] 
в сад [52] [49] 
в конец [51] [47] 
а я [51] [51] 
но я [51] [50] 
и как [50] [47] 
а у [49] [49] 
они не [49] [49] 
хотелось бы [49] [44] 
потому что [48] [47] 
но не [48] [48] 
и с [48] [43] 
только в [47] [46] 
добрый день [47] [47] 
в основное [46] [44] 
чтобы не [46] [43] 
по повод [46] [42] 
в горшок [45] [38] 
но вот [45] [45] 
высокий грядка [45] [30] 
она не [45] [44] 
а не [44] [43] 
в грунт [44] [40] 
так же [44] [43] 
можно и [44] [43] 
следующий год [43] [42] 
в дом [43] [39] 
на следующий [43] [43] 
а если [43] [43] 
один из [43] [41] 
мы в [42] [42] 
в этот [42] [40] 
но в [42] [42] 
лучше весь [41] [41] 
в общий [40] [34] 
то есть [40] [39] 
в магазин [40] [38] 
на балкон [40] [37] 
в вод [39] [35] 
или в [39] [37] 
на фото [39] [38] 
как я [39] [38] 
на один [39] [36] 
в один [38] [38] 
для это [38] [37] 
что не [38] [37] 
пру это [38] [34] 
уж не [38] [38] 
вот и [37] [37] 
на они [37] [37] 
за совет [37] [37] 
может кто [37] [36] 
в почва [37] [35] 
что в [36] [36] 
для себя [36] [36] 
бы не [36] [33] 
на улица [36] [32] 
и по [36] [29] 
а так [36] [36] 
так вот [36] [35] 
а как [35] [35] 
открытый грунт [35] [32] 
у сосед [35] [35] 
у себя [35] [35] 
я бы [35] [35] 
ничего не [35] [35] 
год назад [35] [33] 
в течение [35] [34] 
совсем не [35] [33] 
сам дело [34] [34] 
в наш [34] [34] 
если вы [34] [32] 
как в [34] [34] 
я и [34] [34] 
в сам [34] [34] 
я их [34] [34] 
я уж [33] [32] 
на грядка [33] [29] 
весь равно [33] [31] 
тем более [33] [32] 
что они [33] [33] 
и у [33] [31] 
если не [33] [33] 
очень много [33] [32] 
как на [33] [33] 
такой же [32] [32] 
никогда не [32] [32] 
из они [32] [32] 
а также [32] [31] 
то и [32] [29] 
не хотелось [32] [32] 
завишу от [31] [31] 
ещё и [31] [29] 
можно ли [31] [30] 
с такой [31] [31] 
и для [31] [28] 
с они [31] [31] 
вместе с [31] [28] 
и так [31] [30] 
не над [30] [29] 
в первый [30] [30] 
хочу поделиться [30] [30] 
на сайт [30] [30] 
в открытый [30] [28] 
в она [30] [29] 
с он [30] [30] 
проблема с [29] [29] 
что я [29] [28] 
и есть [29] [29] 
и вот [29] [29] 
год на [29] [26] 
в такой [29] [29] 
есть и [29] [29] 
в принцип [29] [28] 
себя на [29] [28] 
скорее весь [29] [29] 
но весь [29] [28] 
дерево и [29] [28] 
у кто [29] [29] 
даже не [29] [29] 
с это [29] [29] 
их в [29] [29] 
как у [29] [29] 
у он [28] [25] 
как вы [28] [28] 
постоянный место [28] [28] 
один раз [28] [25] 
я очень [28] [27] 
который я [28] [28] 
вот такой [28] [28] 
на фотография [28] [27] 
первый год [27] [27] 
два год [27] [27] 
и пру [27] [27] 
только на [27] [27] 
похож на [27] [27] 
в огород [27] [26] 
я кажется [27] [27] 
мы не [27] [27] 
что можно [27] [25] 
очень люблю [27] [27] 
почва и [27] [27] 
пока не [27] [26] 
весь же [26] [23] 
зависимость от [26] [26] 
на постоянный [26] [26] 
на свой [26] [26] 
с вы [26] [26] 
и вы [26] [25] 
что делать [26] [26] 
по весна [26] [23] 
и от [25] [20] 
на весь [25] [23] 
кто знаю [25] [25] 
раз в [25] [24] 
вы не [25] [25] 
в они [25] [25] 
такой способ [25] [24] 
на ваш [25] [25] 
который можно [25] [25] 
на земля [25] [24] 
не нужно [25] [25] 
но есть [25] [25] 
свой семя [25] [22] 
на рынок [25] [25] 
свой опыт [25] [25] 
я вот [25] [24] 
он не [25] [25] 
могу сказать [25] [25] 
в начало [25] [23] 
и это [24] [24] 
очень удобно [24] [23] 
не в [24] [24] 
только не [24] [24] 
очень хорош [24] [24] 
поделиться свой [24] [24] 
в качество [24] [23] 
я его [24] [23] 
и есть [24] [23] 
не стою [24] [23] 
для того [24] [23] 
у нея [24] [21] 
что с [24] [24] 
для я [24] [22] 
и другой [23] [23] 
ни в [23] [20] 
не весь [23] [23] 
штыковой лопата [23] [12] 
и очень [23] [23] 
